,Title_job,Job_link,Company_link,Address,Salary,date
281,Senior Back-end Developer ,/it-jobs/senior-back-end-developer-mobile-games-antada-2859,/companies/antada,Ho Chi Minh,1000 - 2000 ,8/12/2021
282,.NET Backend Developer ,/it-jobs/senior-net-backend-developer-mvc-sql-fpt-shop-5332,/companies/fpt-shop,Ho Chi Minh,2000,8/12/2021
283,Automation QA/QC ,/it-jobs/automation-qa-qc-tester-java-c-parcel-perform-4000,/companies/parcel-perform,Da Nang,1000 - 2000 ,8/12/2021
287,Japanese Br.SE & Project Manager,/it-jobs/japanese-br-se-project-manager-meta-vision-5156,/companies/meta-vision,Ha Noi,1500 - 2500 ,8/12/2021
288,Software Testing Engineer ,/it-jobs/software-testing-engineer-qa-qc-tester-cong-ty-tnhh-dynastras-viet-nam-3413,/companies/cong-ty-tnhh-dynastras-viet-nam,Ho Chi Minh,500 - 700 ,8/12/2021
290,3 Project Manager ,/it-jobs/3-project-manager-agile-scum-aits-vietnam-airlines-0601,/companies/aits-vietnam-airlines,Ho Chi Minh,800 - 2000 ,8/12/2021
291,10 SW Dev ,/it-jobs/10-sw-dev-net-oracle-react-native-aits-vietnam-airlines-4817,/companies/aits-vietnam-airlines,Ho Chi Minh,500 - 1500 ,8/12/2021
292,10 Phân tích nghiệp vụ Business Analyst ,/it-jobs/10-phan-tich-nghiep-vu-business-analyst-aits-vietnam-airlines-1147,/companies/aits-vietnam-airlines,Ha Noi,500 - 1000 ,8/12/2021
302,10 Jr Java Dev ,/it-jobs/10-jr-java-dev-angular-sql-up-to-2000-leap-5231,/companies/leap,Ho Chi Minh,2000,8/12/2021
312,Backend Engineer ,/it-jobs/backend-engineer-golang-python-sql-anfin-4325,/companies/anfin,Ha Noi,1500 - 2500 ,8/12/2021
314,Senior Frontend Dev ,/it-jobs/sr-frontend-dev-javascript-vuejs-diag-3621,/companies/diag,Ha Noi,1500 - 3000 ,8/12/2021
315,Data Engineer ,/it-jobs/data-engineer-aws-python-or-java-propzy-2651,/companies/propzy,Ho Chi Minh,1300 - 2700 ,8/12/2021
319,Fullstack Developer ,/it-jobs/fullstack-developer-nodejs-angular-ihouzz-tech-5001,/companies/ihouzz-tech,Ho Chi Minh,1700,8/12/2021
322,Ruby on Rails Engineer ,/it-jobs/ruby-on-rails-engineer-junior-middle-money-forward-vietnam-co-ltd-3214,/companies/money-forward-vietnam-co-ltd,Ho Chi Minh,1000 - 3000 ,8/12/2021
323,Software Engineer ,/it-jobs/software-engineer-golang-money-forward-vietnam-co-ltd-1456,/companies/money-forward-vietnam-co-ltd,Ha Noi,1000 - 3000 ,8/12/2021
327,Mobile Dev ,/it-jobs/mobile-dev-react-native-android-ios-tap-doan-dai-truong-phat-4100,/companies/tap-doan-dai-truong-phat,Ho Chi Minh,700 - 1200 ,8/12/2021
328,FullStack Dev ,/it-jobs/fullstack-developer-python-elixir-ruby-onpoint-1655,/companies/onpoint,Ha Noi,1000 - 2500 ,8/12/2021
329,Senior Automation Tester ,/it-jobs/qa-automation-engineer-qa-qc-tester-metasource-2635,/companies/metasource,Ho Chi Minh,2000 - 3000 ,8/12/2021
330,Embedded Engineer ,/it-jobs/embedded-engineer-bsw-asw-autosar-vinsmart-4856,/companies/vinsmart,Ha Noi,1000 - 3000 ,8/12/2021
334,Automation Tester ,/it-jobs/automation-tester-qa-qc-up-to-1800-larion-1931,/companies/larion,Ho Chi Minh,1400 - 1800 ,8/12/2021
335,Senior NodeJS Backend Engineer,/it-jobs/senior-nodejs-backend-engineer-bscstation-1353,/companies/bscstation,Ho Chi Minh,2000 - 5000 ,8/12/2021
336,Fullstack-PHP Laravel ,/it-jobs/fullstack-php-laravel-2-nam-dung-mori-5339,/companies/dung-mori,Ho Chi Minh,900 - 1300 ,8/12/2021
337,Junior Tester ,/it-jobs/junior-tester-qa-qc-dung-mori-2329,/companies/dung-mori,Ho Chi Minh,500 - 800 ,8/12/2021
338,Head of Platform Department ,/it-jobs/head-of-platform-dept-lotte-data-communicaton-co-ltd-vietnam-5955,/companies/lotte-data-communicaton-co-ltd-vietnam,Ho Chi Minh,2000 - 3000 ,8/12/2021
342,DevOps Engineer ,/it-jobs/devops-engineer-aws-cloud-live-group-1421,/companies/live-group,Ha Noi,2500 - 3000 ,8/12/2021
343,Mid/Senior ReactJS Engineer Up to $1800 net,/it-jobs/mid-sr-reactjs-engineer-up-to-1800-net-saigon-technology-solutions-2332,/companies/saigon-technology-solutions,Ho Chi Minh,700 - 1800 ,8/12/2021
346,4 Java Developers ,/it-jobs/4-java-developers-1-200-1-600-net-fitech-4610,/companies/fitech,Ha Noi,1200 - 1600 ,8/12/2021
349,DevOps Engineer ,/it-jobs/devops-aws-gcp-upto-3000-relia-systems-0500,/companies/relia-systems,Ho Chi Minh,1500 - 3000 ,8/12/2021
350,Solidity Engineer,/it-jobs/solidity-engineer-bscstation-1402,/companies/bscstation,Ho Chi Minh,2500 - 5000 ,8/12/2021
358,Senior React Native /ReactJS Developer,/it-jobs/sr-react-native-developer-santo-blockchain-labs-corp-5357,/companies/santo-blockchain-labs-corp,Ha Noi,800 - 1800 ,8/12/2021
359,Senior Backend Developer ,/it-jobs/sr-backend-developer-nodejs-reactjs-santo-blockchain-labs-corp-5508,/companies/santo-blockchain-labs-corp,Ha Noi,1000 - 2500 ,8/12/2021
360,Full Stack Ruby on Rails Developer ,/it-jobs/full-stack-ruby-on-rails-developer-oivan-0334,/companies/oivan,Ho Chi Minh,1500 - 3500 ,8/12/2021
361,Android Developer - Up to $2000 NET,/it-jobs/android-developer-2000-saigon-technology-solutions-1033,/companies/saigon-technology-solutions,Ho Chi Minh,1000 - 2000 ,8/12/2021
364,Urgent 05 Java FullStack Developer,/it-jobs/urgent-05-java-fullstack-developer-tap-hospitality-vietnam-0113,/companies/tap-hospitality-vietnam,Ho Chi Minh,500 - 2000 ,8/12/2021
368,Mobile Dev ,/it-jobs/mobile-dev-android-kotlin-wkwebview-lotte-data-communicaton-co-ltd-vietnam-1619,/companies/lotte-data-communicaton-co-ltd-vietnam,Ha Noi,1000 - 1200 ,8/12/2021
369,Java Developer ,/it-jobs/java-developer-up-to-2000-lotte-data-communicaton-co-ltd-vietnam-1845,/companies/lotte-data-communicaton-co-ltd-vietnam,Da Nang,1200 - 2000 ,8/12/2021
372,Scrum Master ,/it-jobs/scrum-master-agile-est-rouge-0355,/companies/est-rouge,Ho Chi Minh,1000 - 2000 ,8/12/2021
374,All level- Java Dev- ,/it-jobs/senior-java-dev-spring-angular-onsite-techvify-vietnam-4329,/companies/techvify-vietnam,Ho Chi Minh,3000 - 5900 ,8/12/2021
378,Fullstack Dev ,/it-jobs/fullstack-dev-java-angular-up-to-3000-fpt-software-4537,/companies/fpt-software,Ho Chi Minh,3000,8/12/2021
379,Tester ,/it-jobs/tester-blue-belt-technology-5425,/companies/blue-belt-technology,Ho Chi Minh,800 - 1200 ,8/12/2021
380,Senior Business Analyst ,/it-jobs/senior-business-analyst-blue-belt-technology-4618,/companies/blue-belt-technology,Ha Noi,1200 - 1800 ,8/12/2021
